address,level,gainzPoints,Yuzu
0x44e8dcc0fba2de2b9370ede1d838503ce4ae0a3a,Platinum 🌟,4.031111029137388,2943.121745070366
0x5313bc5f769e334b20d0844c7148c099dd2fcc39,Platinum 🌟,3.4797935763837984,2822.3677203799134
0xe805776e882a1078f9443ecd258cbb23cbe6eda1,Platinum 🌟,2.5543599537005974,2619.6717346738183
0x939e38f9d88a535b7851582672212c7bfff63742,Platinum 🌟,2.5483262586959716,2618.350185805876
0x4dc72feaa5b882fe702a14a7bd72be4fb9962346,Platinum 🌟,2.3412934027749306,2573.0041687865346
0x07064128ef444f07cda9707764cfcf93eb2c1857,Platinum 🌟,2.309703703700895,2566.085136416168
0x028ba77d6e50d8ae3a7f2a52a9791442f17297c9,Platinum 🌟,2.2993096064786855,2563.8085368520933
0xbb595017e997042889cce7fafa2d4d32cb04f168,Platinum 🌟,2.2860208333305536,2560.897921864629
0xc126ebcbcc244fc3cd2b60fd65600b3bb96bc681,Platinum 🌟,2.274745949071308,2558.4284051725253
0x06975482581fdcf4f22a1d4ade58cd6d8b30e3e1,Platinum 🌟,2.2048738019191556,2543.12444020598
0xdff8534f3ee03a94ac7d155a5beef97feb2d0182,Platinum 🌟,2.1994797453676957,2541.9429901453236
0xb1ac9db0d6a1ec291f427ad03fc3b632e1e93a56,Platinum 🌟,2.049447337960471,2509.081674150458
0xa8f474811e7631b365ecad33364be545a6111736,Platinum 🌟,1.9529143518494771,2487.938235773767
0x2a76de27cec3b17f9f16014683d4b382695217a2,Platinum 🌟,1.9428101851828228,2485.7251391539376
0xb8fc9dd2576bbde9e2fd1f84b62023ce31529d26,Platinum 🌟,1.9203553240717388,2480.8068931606617
0x71406a514552e84027e6a0ed5bcead27fea2074d,Platinum 🌟,1.9144525462939683,2479.514018846672
0x2dd7504c6d9cd7c7fa0f551123a6ecc0f7602665,Platinum 🌟,1.7048848379608899,2433.6127978713866
0xca7ddbc8ec13cc691e5145a26d0f655ed5df51ec,Platinum 🌟,1.6666672453683438,2425.2420704502238
0x5a713919f012fc28fa1d447f5b5da611e6b5bc90,Platinum 🌟,1.6515728273121657,2421.935968454831
0x1218dc4264605cef3e20026524f789178b7880c7,Platinum 🌟,1.4537574074056396,2378.608829108453
0xa475237ba85a4250627ee464abaacb8308315ef1,Platinum 🌟,1.3645329861094517,2359.066171936294
0xd98656735e2ba24aa705b41d026ea64069231e20,Platinum 🌟,1.354348479487626,2356.8354786071973
0xc9489844274d28862f5306359d19eb21c764b206,Platinum 🌟,1.287637497602272,2342.2238977231277
0x849c9037c79fae353d61c644e186f00c752174d8,Platinum 🌟,1.275195925798646,2339.498843652629
0x8308223f29964f5a76cc1bc920e93143c3332695,Platinum 🌟,1.076283930241345,2295.931523404037
0xb0ecb757aeb1601fe20ebeb1a2be79e8eaa56583,Platinum 🌟,0.9708659663664962,2272.8420250596955
0x7c62f2e716d0b591dcbdd8d69d754116e4094448,Platinum 🌟,0.8524074074063709,2246.896269702192
0xe54a7e7b4021a56baa629deec8634f6abbfc5827,Platinum 🌟,0.8524056712952598,2246.895889445041
0x3b5424992c92cb0dbdcc4f81949df3e7e3599e24,Platinum 🌟,0.8524045138878523,2246.8956359402737
0x1260245470260ac805fc5d8af56ef5ef5d35f870,Platinum 🌟,0.852403356480445,2246.8953824355062
0x5906f9fb6675beaa5f9ae3db7fedbeb0423be321,Platinum 🌟,0.8524021990730376,2246.895128930739
0x15af8559ad8f85374279668f10eb01119b538d8c,Platinum 🌟,0.8523842592582228,2246.891199606843
0xa71885755301ac2c99e92c482e3156780c75b3d2,Platinum 🌟,0.8523802083322969,2246.890312340157
0x410e1c00bbe1c4c07991e2af8b2e4398d31627df,Platinum 🌟,0.8523784722211857,2246.889932083006
0x5d7955637cb6faed5f4b7a7f4e9decfb9f9ae1bb,Platinum 🌟,0.8375703124975342,2243.6465287117558
0x07942536aeffdbda4c90c04a7e00ffcf647018e0,Platinum 🌟,0.818367197401437,2239.4405065318556
0xe6b4a3cf7ff6b5f0bcb684f7e663d17637eba8e2,Platinum 🌟,0.7889726194513763,2233.0022674124175
0xbbd8f967c29a37ea0457d1616018f58782455818,Platinum 🌟,0.7508052332721182,2224.642536607523
0x75a46e28a9954721511fe5efd53d582358872009,Platinum 🌟,0.7143582175917239,2216.6596153171085
0x5543a0bb9c25a3807c56ed5841b3c452550e65f7,Platinum 🌟,0.6727850694401386,2207.553926873394
0xcbc69338c98887ddf680da64bf2495855e3a7218,Platinum 🌟,0.6452968749981003,2201.533239347956
0x98fe5d1e17480eed1d51960a403d59e8828c5dc5,Platinum 🌟,0.5923298251802678,2189.9319660533456
0xe0d4246c4e21aca38ee4e3a52ea0bbbe218a558d,Platinum 🌟,0.36560300925881467,2140.2724180179534
0x0428ab13037b6658561a7aa0ec0f3e4a4f6f7ea4,Platinum 🌟,0.3478637441114026,2136.387020138923
0x395d0c118e62a66780921800622b298e0f828a72,Platinum 🌟,0.33893020833116416,2134.4303246002787
0xf91f9d1404927f2e04c542d6261ccf2c8cd84d10,Platinum 🌟,0.3162217592581028,2129.4565357126703
0xd15a447522421d2da6d34201e8dfee39f6c72d0f,Platinum 🌟,0.29583622685149213,2124.991530893285
0xe64051abba45f79eda1354c1b01852fed84dbc72,Platinum 🌟,0.2944826388885308,2124.6950570677536
0xb27a463e904f94130ffb319a0d3a257ee558cddc,Platinum 🌟,0.2900949074070546,2123.734020494355
0x4db6e049ea463f192a735101cd0c844614e0d29a,Platinum 🌟,0.2819877083323021,2121.9583159300364
0x02047f5b02665678051abad3e37bd43bd0bd5153,Platinum 🌟,0.2488645833324232,2114.7034201633896
